sample_id	sequence_length	dataset	k	n_top_k	tree_index
4	41	positive	5	25.0	26
4	41	positive	10	31.0	26
4	41	positive	20	37.0	26
4	41	positive	1	18.5	27
4	41	positive	5	26.0	27
4	41	positive	10	33.0	27
4	41	positive	20	36.0	27
4	41	positive	1	18.5	28
4	41	positive	5	25.0	28
4	41	positive	10	31.0	28
4	41	positive	20	37.0	28
4	41	positive	1	15.5	29
4	41	positive	5	25.0	29
4	41	positive	10	30.0	29
4	41	positive	20	36.0	29
4	41	positive	1	18.5	30
4	41	positive	5	23.0	30
4	41	positive	10	31.0	30
4	41	positive	20	36.0	30
4	41	positive	1	19.5	31
4	41	positive	5	26.0	31
4	41	positive	10	31.0	31
4	41	positive	20	38.0	31
5	68	EA_positive	1	30.0	0
5	68	EA_positive	5	54.5	0
5	68	EA_positive	10	64.0	0
5	68	EA_positive	20	67.0	0
5	68	EA_positive	1	34.0	1
5	68	EA_positive	5	57.16666666666667	1
5	68	EA_positive	10	62.50000000000001	1
5	68	EA_positive	20	66.0	1
5	68	EA_positive	1	34.0	2
5	68	EA_positive	5	56.5	2
5	68	EA_positive	10	63.0	2
5	68	EA_positive	20	66.0	2
5	68	EA_positive	1	33.5	3
5	68	EA_positive	5	54.75	3
5	68	EA_positive	10	61.0	3
5	68	EA_positive	20	66.0	3
5	68	EA_positive	1	35.5	4
5	68	EA_positive	5	58.0	4
5	68	EA_positive	10	62.5	4
5	68	EA_positive	20	66.0	4
5	68	EA_positive	1	34.5	5
5	68	EA_positive	5	58.0	5
5	68	EA_positive	10	64.0	5
5	68	EA_positive	20	66.0	5
5	68	EA_positive	1	32.16666666666667	6
5	68	EA_positive	5	56.83333333333334	6
5	68	EA_positive	10	61.00000000000001	6
5	68	EA_positive	20	66.0	6
5	68	EA_positive	1	30.0	7
5	68	EA_positive	5	52.5	7
5	68	EA_positive	10	62.0	7
5	68	EA_positive	20	66.0	7
5	68	EA_positive	1	32.6	8
5	68	EA_positive	5	55.00000000000001	8
5	68	EA_positive	10	62.000000000000014	8
5	68	EA_positive	20	65.00000000000001	8
5	68	EA_positive	1	34.5	9
5	68	EA_positive	5	55.5	9
5	68	EA_positive	10	63.0	9
5	68	EA_positive	20	66.0	9
5	68	EA_positive	1	36.0	10
5	68	EA_positive	5	55.5	10
5	68	EA_positive	10	64.0	10
5	68	EA_positive	20	66.0	10
5	68	EA_positive	1	30.0	11
5	68	EA_positive	5	54.5	11
5	68	EA_positive	10	61.0	11
5	68	EA_positive	20	64.0	11
5	68	EA_positive	1	34.5	12
5	68	EA_positive	5	58.0	12
5	68	EA_positive	10	63.0	12
5	68	EA_positive	20	68.0	12
5	68	EA_positive	1	32.0	13
5	68	EA_positive	5	55.5	13
5	68	EA_positive	10	63.0	13
5	68	EA_positive	20	66.0	13
5	68	EA_positive	1	32.0	14
5	68	EA_positive	5	53.5	14
5	68	EA_positive	10	60.0	14
5	68	EA_positive	20	65.0	14
5	68	EA_positive	1	34.0	15
5	68	EA_positive	5	56.5	15
5	68	EA_positive	10	63.0	15
5	68	EA_positive	20	65.0	15
5	68	EA_positive	1	30.0	16
5	68	EA_positive	5	55.25	16
5	68	EA_positive	10	63.0	16
5	68	EA_positive	20	66.0	16
5	68	EA_positive	1	33.16666666666667	17
5	68	EA_positive	5	57.833333333333336	17
5	68	EA_positive	10	63.0	17
5	68	EA_positive	20	67.0	17
5	68	EA_positive	1	34.5	18
5	68	EA_positive	5	55.0	18
5	68	EA_positive	10	62.0	18
5	68	EA_positive	20	65.0	18
5	68	EA_positive	1	36.0	19
5	68	EA_positive	5	56.5	19
5	68	EA_positive	10	60.0	19
5	68	EA_positive	20	64.0	19
5	68	EA_positive	1	33.0	20
5	68	EA_positive	5	56.5	20
5	68	EA_positive	10	63.0	20
5	68	EA_positive	20	66.0	20
5	68	EA_positive	1	33.5	21
5	68	EA_positive	5	53.0	21
5	68	EA_positive	10	64.0	21
5	68	EA_positive	20	66.0	21
5	68	EA_positive	1	33.0	22
5	68	EA_positive	5	54.0	22
5	68	EA_positive	10	61.0	22
5	68	EA_positive	20	64.0	22
5	68	EA_positive	1	32.0	23
5	68	EA_positive	5	55.5	23
5	68	EA_positive	10	63.0	23
5	68	EA_positive	20	66.0	23
5	68	EA_positive	1	35.0	24
5	68	EA_positive	5	58.0	24
5	68	EA_positive	10	64.0	24
5	68	EA_positive	20	66.0	24
5	68	EA_positive	1	32.1	25
5	68	EA_positive	5	55.00000000000001	25
5	68	EA_positive	10	62.000000000000014	25
5	68	EA_positive	20	67.00000000000001	25
5	68	EA_positive	1	31.0	26
5	68	EA_positive	5	54.5	26
5	68	EA_positive	10	62.0	26
5	68	EA_positive	20	66.0	26
5	68	EA_positive	1	34.16666666666667	27
5	68	EA_positive	5	58.33333333333334	27
5	68	EA_positive	10	64.0	27
5	68	EA_positive	20	66.0	27
5	68	EA_positive	1	32.0	28
5	68	EA_positive	5	54.5	28
5	68	EA_positive	10	61.0	28
5	68	EA_positive	20	66.0	28
5	68	EA_positive	1	31.0	29
5	68	EA_positive	5	56.25	29
5	68	EA_positive	10	62.0	29
5	68	EA_positive	20	64.0	29
5	68	EA_positive	1	31.0	30
5	68	EA_positive	5	55.25	30
5	68	EA_positive	10	62.0	30
5	68	EA_positive	20	66.0	30
5	68	EA_positive	1	35.5	31
5	68	EA_positive	5	59.0	31
5	68	EA_positive	10	63.0	31
5	68	EA_positive	20	64.0	31
6	47	EA_negative	1	25.5	0
6	47	EA_negative	5	40.5	0
6	47	EA_negative	10	42.0	0
6	47	EA_negative	20	45.0	0
6	47	EA_negative	1	22.0	1
6	47	EA_negative	5	38.5	1
6	47	EA_negative	10	43.0	1
6	47	EA_negative	20	46.00000000000001	1
6	47	EA_negative	1	23.662857142857142	2
6	47	EA_negative	5	37.980952380952374	2
6	47	EA_negative	10	43.199999999999996	2
6	47	EA_negative	20	46.40000000000001	2
6	47	EA_negative	1	23.0	3
6	47	EA_negative	5	38.5	3
6	47	EA_negative	10	44.0	3
6	47	EA_negative	20	45.0	3
